wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description,wine,food
Nebbiolo,Red,fish tacos,Seafood,Argentinian,2,Poor,Tannic reds clash with delicate seafood.,Nebbiolo,fish tacos
Gamay (Beaujolais),Red,grilled ribeye,Red Meat,Thai,4,Good,Heuristic pairing assessment.,Gamay (Beaujolais),grilled ribeye
Zinfandel,Red,mac and cheese,Cheese,French,5,Excellent,Idealized perfect pairing example for contrast.,Zinfandel,mac and cheese
Chenin Blanc,White,beef stew,Red Meat,Korean,3,Neutral,Heuristic pairing assessment.,Chenin Blanc,beef stew
Riesling (dry),White,bbq brisket,Red Meat,Korean,2,Poor,Delicate wine overwhelmed by red meat.,Riesling (Dry),bbq brisket
Cabernet Sauvignon,Red,cheese platter,Cheese,Italian,2,Poor,Heuristic pairing assessment.,Cabernet Sauvignon,cheese platter
Gamay (Beaujolais),Red,grilled salmon,Seafood,German,4,Good,Light red (Pinot) with salmon works.,Gamay (Beaujolais),grilled salmon
Sauvignon Blanc,White,lemon tart,Dessert,Thai,3,Neutral,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.,Sauvignon Blanc,lemon tart
Madeira,Fortified,cheese platter,Cheese,German,3,Neutral,Heuristic pairing assessment.,Madeira,cheese platter
Albariño,White,mac and cheese,Cheese,Argentinian,2,Poor,Heuristic pairing assessment.,Albariño,mac and cheese
Torrontés,White,mac and cheese,Cheese,French,4,Good,Heuristic pairing assessment.,Torrontés,mac and cheese
Pinot Noir,Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Pinot Noir,fondue
Merlot,Red,alfredo pasta,Creamy,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.,Merlot,alfredo pasta
Cava,Sparkling,mac and cheese,Cheese,Italian,2,Poor,Heuristic pairing assessment.,Cava,mac and cheese
Grüner Veltliner,White,cheesecake,Dessert,French,2,Poor,Dry table wine clashes with dessert sweetness.,Grüner Veltliner,cheesecake
Malbec,Red,mac and cheese,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Malbec,mac and cheese
Ice Wine,Dessert,fish tacos,Seafood,Italian,2,Poor,Tannic reds clash with delicate seafood.,Ice Wine,fish tacos
Cava,Sparkling,grilled ribeye,Red Meat,Argentinian,2,Poor,Heuristic pairing assessment.,Cava,grilled ribeye
Cava,Sparkling,caprese salad,Acidic,Middle Eastern,2,Poor,Heuristic pairing assessment.,Cava,caprese salad
Madeira,Fortified,cheesecake,Dessert,Korean,3,Neutral,Heuristic pairing assessment.,Madeira,cheesecake
Ice Wine,Dessert,mixed nuts,Salty Snack,Middle Eastern,3,Neutral,Heuristic pairing assessment.,Ice Wine,mixed nuts
White Zinfandel,Rosé,bbq brisket,Red Meat,Mexican,5,Excellent,Idealized perfect pairing example for contrast.,White Zinfandel,bbq brisket
Grüner Veltliner,White,alfredo pasta,Creamy,German,1,Terrible,Too lean for creamy dish.,Grüner Veltliner,alfredo pasta
White Zinfandel,Rosé,beef stew,Red Meat,Korean,1,Terrible,Deliberately bad pairing example for contrast.,White Zinfandel,beef stew
Sauvignon Blanc,White,cream of mushroom soup,Creamy,Vietnamese,3,Neutral,Too lean for creamy dish.,Sauvignon Blanc,cream of mushroom soup
Sauternes,Dessert,oysters,Seafood,Vietnamese,2,Poor,Tannic reds clash with delicate seafood.,Sauternes,oysters
Ice Wine,Dessert,pork tenderloin,Pork,Argentinian,2,Poor,Heuristic pairing assessment.,Ice Wine,pork tenderloin
Gewürztraminer,White,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Gewürztraminer,fondue
Sauternes,Dessert,charcuterie board,Salty Snack,French,3,Neutral,Heuristic pairing assessment.,Sauternes,charcuterie board
Ice Wine,Dessert,olives and cheese,Salty Snack,Korean,5,Excellent,Idealized perfect pairing example for contrast.,Ice Wine,olives and cheese
Grenache,Red,bbq brisket,Red Meat,Mexican,1,Terrible,Delicate wine overwhelmed by red meat.,Grenache,bbq brisket
Merlot,Red,mac and cheese,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Merlot,mac and cheese
Sauternes,Dessert,cheesecake,Dessert,French,1,Terrible,Deliberately bad pairing example for contrast.,Sauternes,cheesecake
Madeira,Fortified,grilled ribeye,Red Meat,Japanese,3,Neutral,Heuristic pairing assessment.,Madeira,grilled ribeye
Albariño,White,carbonara,Creamy,Indian,3,Neutral,Too lean for creamy dish.,Albariño,carbonara
Sauternes,Dessert,mac and cheese,Cheese,Ethiopian,3,Neutral,Heuristic pairing assessment.,Sauternes,mac and cheese
White Zinfandel,Rosé,caprese salad,Acidic,Mexican,3,Neutral,Heuristic pairing assessment.,White Zinfandel,caprese salad
Pinot Noir,Red,mac and cheese,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.,Pinot Noir,mac and cheese
Cabernet Sauvignon,Red,mac and cheese,Cheese,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.,Cabernet Sauvignon,mac and cheese
Provence Rosé,Rosé,mac and cheese,Cheese,Thai,3,Neutral,Heuristic pairing assessment.,Provence Rosé,mac and cheese
Albariño,White,roast lamb,Red Meat,Spanish,3,Neutral,Delicate wine overwhelmed by red meat.,Albariño,roast lamb
Barbera,Red,grilled ribeye,Red Meat,Vietnamese,3,Neutral,Heuristic pairing assessment.,Barbera,grilled ribeye
Sauvignon Blanc,White,chocolate mousse,Dessert,Spanish,1,Terrible,Dry table wine clashes with dessert sweetness.,Sauvignon Blanc,chocolate mousse
Champagne,Sparkling,grilled ribeye,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Champagne,grilled ribeye
Cava,Sparkling,bbq brisket,Red Meat,Ethiopian,2,Poor,Delicate wine overwhelmed by red meat.,Cava,bbq brisket
Riesling (dry),White,caprese salad,Acidic,Korean,3,Neutral,Heuristic pairing assessment.,Riesling (Dry),caprese salad
Sauternes,Dessert,mixed nuts,Salty Snack,Spanish,3,Neutral,Heuristic pairing assessment.,Sauternes,mixed nuts
Sauternes,Dessert,shrimp scampi,Seafood,Italian,2,Poor,Tannic reds clash with delicate seafood.,Sauternes,shrimp scampi
Cabernet Sauvignon,Red,gazpacho,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Cabernet Sauvignon,gazpacho
Ice Wine,Dessert,chocolate mousse,Dessert,Vietnamese,4,Good,Sweet/sparkling pairs with dessert.,Ice Wine,chocolate mousse
Sauvignon Blanc,White,sorbet,Dessert,Japanese,1,Terrible,Dry table wine clashes with dessert sweetness.,Sauvignon Blanc,sorbet
Cabernet Sauvignon,Red,caprese salad,Acidic,Indian,3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,caprese salad
Chenin Blanc,White,citrus salad,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Chenin Blanc,citrus salad
Sauternes,Dessert,smoked sausage,Smoky BBQ,Thai,2,Poor,Heuristic pairing assessment.,Sauternes,smoked sausage
Sauternes,Dessert,grilled ribeye,Red Meat,American BBQ,3,Neutral,Heuristic pairing assessment.,Sauternes,grilled ribeye
Chardonnay,White,beef stew,Red Meat,American BBQ,2,Poor,Heuristic pairing assessment.,Chardonnay,beef stew
Zinfandel,Red,grilled ribeye,Red Meat,Japanese,3,Neutral,Heuristic pairing assessment.,Zinfandel,grilled ribeye
Grüner Veltliner,White,grilled salmon,Seafood,Japanese,5,Excellent,Crisp acidity suits seafood.,Grüner Veltliner,grilled salmon
Grenache,Red,roast lamb,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.,Grenache,roast lamb
Port,Fortified,grilled ribeye,Red Meat,Moroccan,3,Neutral,Heuristic pairing assessment.,Port,grilled ribeye
Chenin Blanc,White,bbq brisket,Red Meat,Italian,1,Terrible,Delicate wine overwhelmed by red meat.,Chenin Blanc,bbq brisket
Grenache,Red,cheese platter,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.,Grenache,cheese platter
Madeira,Fortified,gazpacho,Acidic,Thai,5,Excellent,Acidic wine balances acidic food.,Madeira,gazpacho
Merlot,Red,bbq brisket,Red Meat,American BBQ,5,Excellent,Tannic red complements red meat fat.,Merlot,bbq brisket
White Zinfandel,Rosé,grilled ribeye,Red Meat,Indian,3,Neutral,Heuristic pairing assessment.,White Zinfandel,grilled ribeye
Malbec,Red,caprese salad,Acidic,Mexican,4,Good,Heuristic pairing assessment.,Malbec,caprese salad
Tempranillo,Red,mac and cheese,Cheese,Moroccan,4,Good,Heuristic pairing assessment.,Tempranillo,mac and cheese
Gamay (Beaujolais),Red,roast lamb,Red Meat,American BBQ,2,Poor,Delicate wine overwhelmed by red meat.,Gamay (Beaujolais),roast lamb
Grüner Veltliner,White,sorbet,Dessert,Middle Eastern,1,Terrible,Dry table wine clashes with dessert sweetness.,Grüner Veltliner,sorbet
Grenache,Red,fondue,Cheese,German,3,Neutral,Heuristic pairing assessment.,Grenache,fondue
Albariño,White,bbq brisket,Red Meat,Indian,1,Terrible,Delicate wine overwhelmed by red meat.,Albariño,bbq brisket
Sauvignon Blanc,White,gazpacho,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Sauvignon Blanc,gazpacho
Nebbiolo,Red,fondue,Cheese,Greek,3,Neutral,Heuristic pairing assessment.,Nebbiolo,fondue
Chenin Blanc,White,cheese platter,Cheese,Vietnamese,3,Neutral,Heuristic pairing assessment.,Chenin Blanc,cheese platter
Zinfandel,Red,bbq brisket,Red Meat,Indian,5,Excellent,Tannic red complements red meat fat.,Zinfandel,bbq brisket
Sauternes,Dessert,roast lamb,Red Meat,Chinese (Sichuan),1,Terrible,Delicate wine overwhelmed by red meat.,Sauternes,roast lamb
Albariño,White,fondue,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Albariño,fondue
Grüner Veltliner,White,carbonara,Creamy,Ethiopian,2,Poor,Too lean for creamy dish.,Grüner Veltliner,carbonara
Provence Rosé,Rosé,fondue,Cheese,Italian,1,Terrible,Deliberately bad pairing example for contrast.,Provence Rosé,fondue
Ice Wine,Dessert,mac and cheese,Cheese,French,4,Good,Heuristic pairing assessment.,Ice Wine,mac and cheese
Barbera,Red,cheese platter,Cheese,Japanese,2,Poor,Heuristic pairing assessment.,Barbera,cheese platter
Chardonnay,White,grilled ribeye,Red Meat,Thai,3,Neutral,Heuristic pairing assessment.,Chardonnay,grilled ribeye
Chardonnay,White,bbq brisket,Red Meat,Moroccan,2,Poor,Delicate wine overwhelmed by red meat.,Chardonnay,bbq brisket
Provence Rosé,Rosé,roast lamb,Red Meat,Spanish,2,Poor,Delicate wine overwhelmed by red meat.,Provence Rosé,roast lamb
Grüner Veltliner,White,cheese platter,Cheese,Italian,2,Poor,Heuristic pairing assessment.,Grüner Veltliner,cheese platter
Gamay (Beaujolais),Red,caprese salad,Acidic,Spanish,1,Terrible,Deliberately bad pairing example for contrast.,Gamay (Beaujolais),caprese salad
Sauvignon Blanc,White,carbonara,Creamy,Japanese,2,Poor,Too lean for creamy dish.,Sauvignon Blanc,carbonara
Tempranillo,Red,roast lamb,Red Meat,Spanish,5,Excellent,Tannic red complements red meat fat.,Tempranillo,roast lamb
Madeira,Fortified,roast lamb,Red Meat,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.,Madeira,roast lamb
Zinfandel,Red,beef stew,Red Meat,Spanish,4,Good,Heuristic pairing assessment.,Zinfandel,beef stew
Albariño,White,grilled ribeye,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Albariño,grilled ribeye
Tempranillo,Red,beef stew,Red Meat,Indian,4,Good,Heuristic pairing assessment.,Tempranillo,beef stew
Viognier,White,roast lamb,Red Meat,French,1,Terrible,Delicate wine overwhelmed by red meat.,Viognier,roast lamb
Grüner Veltliner,White,cream of mushroom soup,Creamy,Thai,2,Poor,Too lean for creamy dish.,Grüner Veltliner,cream of mushroom soup
Cava,Sparkling,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Cava,cheese platter
Grenache,Red,beef stew,Red Meat,Korean,4,Good,Heuristic pairing assessment.,Grenache,beef stew
Grüner Veltliner,White,fondue,Cheese,Korean,2,Poor,Heuristic pairing assessment.,Grüner Veltliner,fondue
Tempranillo,Red,bbq brisket,Red Meat,American BBQ,3,Neutral,Tannic red complements red meat fat.,Tempranillo,bbq brisket
Port,Fortified,beef stew,Red Meat,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.,Port,beef stew
Sauternes,Dessert,citrus salad,Acidic,Japanese,5,Excellent,Acidic wine balances acidic food.,Sauternes,citrus salad
Riesling (dry),White,cheese platter,Cheese,Vietnamese,3,Neutral,Heuristic pairing assessment.,Riesling (Dry),cheese platter
White Zinfandel,Rosé,citrus salad,Acidic,Korean,2,Poor,Low-acid wine seems flabby vs acids.,White Zinfandel,citrus salad
Champagne,Sparkling,roast lamb,Red Meat,Argentinian,1,Terrible,Delicate wine overwhelmed by red meat.,Champagne,roast lamb
Ice Wine,Dessert,citrus salad,Acidic,Japanese,4,Good,Acidic wine balances acidic food.,Ice Wine,citrus salad
Madeira,Fortified,beef stew,Red Meat,Italian,3,Neutral,Heuristic pairing assessment.,Madeira,beef stew
Ice Wine,Dessert,fondue,Cheese,Vietnamese,3,Neutral,Heuristic pairing assessment.,Ice Wine,fondue
Pinot Noir,Red,bbq brisket,Red Meat,Moroccan,1,Terrible,Delicate wine overwhelmed by red meat.,Pinot Noir,bbq brisket
Torrontés,White,beef stew,Red Meat,German,3,Neutral,Heuristic pairing assessment.,Torrontés,beef stew
Nebbiolo,Red,alfredo pasta,Creamy,French,2,Poor,Too lean for creamy dish.,Nebbiolo,alfredo pasta
Gewürztraminer,White,cheese platter,Cheese,Japanese,5,Excellent,Idealized perfect pairing example for contrast.,Gewürztraminer,cheese platter
Nebbiolo,Red,cheese platter,Cheese,Greek,3,Neutral,Heuristic pairing assessment.,Nebbiolo,cheese platter
Gewürztraminer,White,beef stew,Red Meat,Indian,3,Neutral,Heuristic pairing assessment.,Gewürztraminer,beef stew
Zinfandel,Red,roast lamb,Red Meat,Thai,4,Good,Tannic red complements red meat fat.,Zinfandel,roast lamb
Ice Wine,Dessert,grilled ribeye,Red Meat,Spanish,4,Good,Heuristic pairing assessment.,Ice Wine,grilled ribeye
Zinfandel,Red,cheese platter,Cheese,French,4,Good,Heuristic pairing assessment.,Zinfandel,cheese platter
Chenin Blanc,White,roast lamb,Red Meat,Moroccan,2,Poor,Delicate wine overwhelmed by red meat.,Chenin Blanc,roast lamb
Ice Wine,Dessert,roast lamb,Red Meat,Italian,2,Poor,Delicate wine overwhelmed by red meat.,Ice Wine,roast lamb
Barbera,Red,beef stew,Red Meat,Moroccan,3,Neutral,Heuristic pairing assessment.,Barbera,beef stew
Barbera,Red,roast lamb,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.,Barbera,roast lamb
Grüner Veltliner,White,grilled ribeye,Red Meat,Indian,3,Neutral,Heuristic pairing assessment.,Grüner Veltliner,grilled ribeye
Chenin Blanc,White,gazpacho,Acidic,Indian,4,Good,Acidic wine balances acidic food.,Chenin Blanc,gazpacho
Tempranillo,Red,grilled ribeye,Red Meat,Korean,5,Excellent,Idealized perfect pairing example for contrast.,Tempranillo,grilled ribeye
Provence Rosé,Rosé,cheese platter,Cheese,Greek,4,Good,Heuristic pairing assessment.,Provence Rosé,cheese platter
Ice Wine,Dessert,beef stew,Red Meat,Japanese,3,Neutral,Heuristic pairing assessment.,Ice Wine,beef stew
Albariño,White,lemon tart,Dessert,Greek,2,Poor,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.,Albariño,lemon tart
Viognier,White,caprese salad,Acidic,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Viognier,caprese salad
Cava,Sparkling,beef stew,Red Meat,Mexican,3,Neutral,Heuristic pairing assessment.,Cava,beef stew
Albariño,White,caprese salad,Acidic,Vietnamese,3,Neutral,Heuristic pairing assessment.,Albariño,caprese salad
Syrah/Shiraz,Red,gazpacho,Acidic,Japanese,3,Neutral,Acidic wine balances acidic food.,Syrah/Shiraz,gazpacho
Zinfandel,Red,fondue,Cheese,German,3,Neutral,Heuristic pairing assessment.,Zinfandel,fondue
Gamay (Beaujolais),Red,citrus salad,Acidic,Moroccan,4,Good,Acidic wine balances acidic food.,Gamay (Beaujolais),citrus salad
Grüner Veltliner,White,mac and cheese,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Grüner Veltliner,mac and cheese
Grüner Veltliner,White,lemon tart,Dessert,Italian,3,Neutral,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.,Grüner Veltliner,lemon tart
Merlot,Red,citrus salad,Acidic,German,5,Excellent,Acidic wine balances acidic food.,Merlot,citrus salad
Grüner Veltliner,White,bbq brisket,Red Meat,Mexican,2,Poor,Delicate wine overwhelmed by red meat.,Grüner Veltliner,bbq brisket
Albariño,White,cream of mushroom soup,Creamy,Argentinian,2,Poor,Too lean for creamy dish.,Albariño,cream of mushroom soup
Sauvignon Blanc,White,bbq brisket,Red Meat,Moroccan,5,Excellent,Idealized perfect pairing example for contrast.,Sauvignon Blanc,bbq brisket
Ice Wine,Dessert,gazpacho,Acidic,Japanese,5,Excellent,Acidic wine balances acidic food.,Ice Wine,gazpacho
Sangiovese,Red,roast lamb,Red Meat,Korean,4,Good,Tannic red complements red meat fat.,Sangiovese,roast lamb
Pinot Noir,Red,grilled ribeye,Red Meat,Indian,3,Neutral,Heuristic pairing assessment.,Pinot Noir,grilled ribeye
Tempranillo,Red,cheese platter,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.,Tempranillo,cheese platter
Malbec,Red,cheese platter,Cheese,Vietnamese,4,Good,Heuristic pairing assessment.,Malbec,cheese platter
Merlot,Red,gazpacho,Acidic,Moroccan,4,Good,Acidic wine balances acidic food.,Merlot,gazpacho
Champagne,Sparkling,fondue,Cheese,Greek,3,Neutral,Heuristic pairing assessment.,Champagne,fondue
Nebbiolo,Red,gazpacho,Acidic,Spanish,4,Good,Acidic wine balances acidic food.,Nebbiolo,gazpacho
Nebbiolo,Red,citrus salad,Acidic,Indian,4,Good,Acidic wine balances acidic food.,Nebbiolo,citrus salad
Port,Fortified,caprese salad,Acidic,Italian,3,Neutral,Heuristic pairing assessment.,Port,caprese salad
Grenache,Red,citrus salad,Acidic,Italian,3,Neutral,Acidic wine balances acidic food.,Grenache,citrus salad
Cava,Sparkling,fondue,Cheese,Italian,4,Good,Heuristic pairing assessment.,Cava,fondue
Provence Rosé,Rosé,caprese salad,Acidic,French,4,Good,Heuristic pairing assessment.,Provence Rosé,caprese salad
Barbera,Red,caprese salad,Acidic,Italian,3,Neutral,Heuristic pairing assessment.,Barbera,caprese salad
Gewürztraminer,White,bbq brisket,Red Meat,Mexican,2,Poor,Delicate wine overwhelmed by red meat.,Gewürztraminer,bbq brisket
Torrontés,White,cheese platter,Cheese,Vietnamese,2,Poor,Heuristic pairing assessment.,Torrontés,cheese platter
Viognier,White,gazpacho,Acidic,Middle Eastern,1,Terrible,Low-acid wine seems flabby vs acids.,Viognier,gazpacho
White Zinfandel,Rosé,gazpacho,Acidic,Thai,5,Excellent,Idealized perfect pairing example for contrast.,White Zinfandel,gazpacho
Barbera,Red,gazpacho,Acidic,Greek,5,Excellent,Acidic wine balances acidic food.,Barbera,gazpacho
Syrah/Shiraz,Red,mac and cheese,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.,Syrah/Shiraz,mac and cheese
Barbera,Red,bbq brisket,Red Meat,Indian,3,Neutral,Delicate wine overwhelmed by red meat.,Barbera,bbq brisket
Sauvignon Blanc,White,fondue,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Sauvignon Blanc,fondue
Albariño,White,beef stew,Red Meat,Indian,4,Good,Heuristic pairing assessment.,Albariño,beef stew
Grüner Veltliner,White,gazpacho,Acidic,Greek,5,Excellent,Acidic wine balances acidic food.,Grüner Veltliner,gazpacho
Champagne,Sparkling,beef stew,Red Meat,Vietnamese,3,Neutral,Heuristic pairing assessment.,Champagne,beef stew
Port,Fortified,roast lamb,Red Meat,Chinese (Sichuan),1,Terrible,Delicate wine overwhelmed by red meat.,Port,roast lamb
Albariño,White,cheese platter,Cheese,French,3,Neutral,Heuristic pairing assessment.,Albariño,cheese platter
Sauvignon Blanc,White,grilled ribeye,Red Meat,Mexican,3,Neutral,Heuristic pairing assessment.,Sauvignon Blanc,grilled ribeye
Grenache,Red,mac and cheese,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Grenache,mac and cheese
Riesling (dry),White,grilled ribeye,Red Meat,Thai,4,Good,Heuristic pairing assessment.,Riesling (Dry),grilled ribeye
Riesling (dry),White,mac and cheese,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Riesling (Dry),mac and cheese
Torrontés,White,roast lamb,Red Meat,Thai,3,Neutral,Delicate wine overwhelmed by red meat.,Torrontés,roast lamb
Pinot Noir,Red,roast lamb,Red Meat,American BBQ,2,Poor,Delicate wine overwhelmed by red meat.,Pinot Noir,roast lamb
White Zinfandel,Rosé,roast lamb,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.,White Zinfandel,roast lamb
Zinfandel,Red,citrus salad,Acidic,American BBQ,4,Good,Acidic wine balances acidic food.,Zinfandel,citrus salad
Merlot,Red,caprese salad,Acidic,Thai,2,Poor,Heuristic pairing assessment.,Merlot,caprese salad
Sauvignon Blanc,White,citrus salad,Acidic,Korean,3,Neutral,Acidic wine balances acidic food.,Sauvignon Blanc,citrus salad
Sangiovese,Red,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Sangiovese,cheese platter
Riesling (dry),White,gazpacho,Acidic,Spanish,4,Good,Acidic wine balances acidic food.,Riesling (Dry),gazpacho
Riesling (dry),White,citrus salad,Acidic,Moroccan,4,Good,Acidic wine balances acidic food.,Riesling (Dry),citrus salad
Zinfandel,Red,gazpacho,Acidic,French,5,Excellent,Idealized perfect pairing example for contrast.,Zinfandel,gazpacho
Zinfandel,Red,caprese salad,Acidic,Mexican,4,Good,Heuristic pairing assessment.,Zinfandel,caprese salad
Madeira,Fortified,bbq brisket,Red Meat,Thai,3,Neutral,Delicate wine overwhelmed by red meat.,Madeira,bbq brisket
Provence Rosé,Rosé,beef stew,Red Meat,Japanese,3,Neutral,Heuristic pairing assessment.,Provence Rosé,beef stew
Gewürztraminer,White,roast lamb,Red Meat,Thai,2,Poor,Delicate wine overwhelmed by red meat.,Gewürztraminer,roast lamb
Ice Wine,Dessert,bbq brisket,Red Meat,Korean,2,Poor,Delicate wine overwhelmed by red meat.,Ice Wine,bbq brisket
Grenache,Red,grilled ribeye,Red Meat,Thai,3,Neutral,Heuristic pairing assessment.,Grenache,grilled ribeye
White Zinfandel,Rosé,fondue,Cheese,Italian,4,Good,Heuristic pairing assessment.,White Zinfandel,fondue
Torrontés,White,bbq brisket,Red Meat,Indian,1,Terrible,Delicate wine overwhelmed by red meat.,Torrontés,bbq brisket
White Zinfandel,Rosé,mac and cheese,Cheese,Italian,4,Good,Heuristic pairing assessment.,White Zinfandel,mac and cheese
Port,Fortified,citrus salad,Acidic,Ethiopian,2,Poor,Low-acid wine seems flabby vs acids.,Port,citrus salad
Viognier,White,beef stew,Red Meat,Italian,2,Poor,Heuristic pairing assessment.,Viognier,beef stew
Gamay (Beaujolais),Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Gamay (Beaujolais),fondue
Port,Fortified,bbq brisket,Red Meat,American BBQ,2,Poor,Delicate wine overwhelmed by red meat.,Port,bbq brisket
Sauvignon Blanc,White,roast lamb,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.,Sauvignon Blanc,roast lamb
Madeira,Fortified,caprese salad,Acidic,Thai,3,Neutral,Heuristic pairing assessment.,Madeira,caprese salad
Albariño,White,sorbet,Dessert,Japanese,2,Poor,Dry table wine clashes with dessert sweetness.,Albariño,sorbet
Chenin Blanc,White,mac and cheese,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.,Chenin Blanc,mac and cheese
Chenin Blanc,White,grilled ribeye,Red Meat,Argentinian,4,Good,Heuristic pairing assessment.,Chenin Blanc,grilled ribeye
Albariño,White,citrus salad,Acidic,Spanish,1,Terrible,Deliberately bad pairing example for contrast.,Albariño,citrus salad
Grüner Veltliner,White,beef stew,Red Meat,Indian,2,Poor,Heuristic pairing assessment.,Grüner Veltliner,beef stew
Cava,Sparkling,gazpacho,Acidic,German,4,Good,Acidic wine balances acidic food.,Cava,gazpacho
Sauternes,Dessert,gazpacho,Acidic,Greek,5,Excellent,Acidic wine balances acidic food.,Sauternes,gazpacho
Torrontés,White,citrus salad,Acidic,Korean,4,Good,Acidic wine balances acidic food.,Torrontés,citrus salad
Grüner Veltliner,White,roast lamb,Red Meat,American BBQ,2,Poor,Delicate wine overwhelmed by red meat.,Grüner Veltliner,roast lamb
Barbera,Red,fondue,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Barbera,fondue
Riesling (dry),White,beef stew,Red Meat,Greek,5,Excellent,Idealized perfect pairing example for contrast.,Riesling (Dry),beef stew
Sauvignon Blanc,White,mac and cheese,Cheese,Ethiopian,4,Good,Heuristic pairing assessment.,Sauvignon Blanc,mac and cheese
Riesling (dry),White,fondue,Cheese,Middle Eastern,4,Good,Heuristic pairing assessment.,Riesling (Dry),fondue
Torrontés,White,gazpacho,Acidic,Japanese,4,Good,Acidic wine balances acidic food.,Torrontés,gazpacho
Viognier,White,grilled ribeye,Red Meat,American BBQ,2,Poor,Heuristic pairing assessment.,Viognier,grilled ribeye
Merlot,Red,grilled ribeye,Red Meat,Spanish,3,Neutral,Heuristic pairing assessment.,Merlot,grilled ribeye
Gamay (Beaujolais),Red,beef stew,Red Meat,Indian,3,Neutral,Heuristic pairing assessment.,Gamay (Beaujolais),beef stew
Gewürztraminer,White,gazpacho,Acidic,Spanish,2,Poor,Low-acid wine seems flabby vs acids.,Gewürztraminer,gazpacho
Grenache,Red,gazpacho,Acidic,Middle Eastern,4,Good,Acidic wine balances acidic food.,Grenache,gazpacho
Gamay (Beaujolais),Red,mac and cheese,Cheese,Vietnamese,3,Neutral,Heuristic pairing assessment.,Gamay (Beaujolais),mac and cheese
Syrah/Shiraz,Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Syrah/Shiraz,fondue
Gewürztraminer,White,grilled ribeye,Red Meat,Moroccan,2,Poor,Heuristic pairing assessment.,Gewürztraminer,grilled ribeye
Sauternes,Dessert,caprese salad,Acidic,Greek,2,Poor,Heuristic pairing assessment.,Sauternes,caprese salad
Sauternes,Dessert,bbq brisket,Red Meat,Mexican,3,Neutral,Delicate wine overwhelmed by red meat.,Sauternes,bbq brisket
Malbec,Red,citrus salad,Acidic,Greek,5,Excellent,Acidic wine balances acidic food.,Malbec,citrus salad
Chardonnay,White,roast lamb,Red Meat,Ethiopian,2,Poor,Delicate wine overwhelmed by red meat.,Chardonnay,roast lamb
Cava,Sparkling,citrus salad,Acidic,Moroccan,4,Good,Acidic wine balances acidic food.,Cava,citrus salad
Provence Rosé,Rosé,bbq brisket,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.,Provence Rosé,bbq brisket
Merlot,Red,roast lamb,Red Meat,Spanish,4,Good,Tannic red complements red meat fat.,Merlot,roast lamb
Champagne,Sparkling,citrus salad,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Champagne,citrus salad
Viognier,White,bbq brisket,Red Meat,Chinese (Sichuan),3,Neutral,Delicate wine overwhelmed by red meat.,Viognier,bbq brisket
Ice Wine,Dessert,caprese salad,Acidic,Italian,3,Neutral,Heuristic pairing assessment.,Ice Wine,caprese salad
White Zinfandel,Rosé,cheese platter,Cheese,Argentinian,3,Neutral,Heuristic pairing assessment.,White Zinfandel,cheese platter
