wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description,wine,food,text,cluster
Ice Wine,Dessert,smoked sausage,Smoky BBQ,Argentinian,3,Neutral,Heuristic pairing assessment.,Ice Wine,smoked sausage,Ice Wine Heuristic pairing assessment.,6
Gamay (Beaujolais),Red,shrimp scampi,Seafood,German,2,Poor,Tannic reds clash with delicate seafood.,Gamay (Beaujolais),shrimp scampi,Gamay (Beaujolais) Tannic reds clash with delicate seafood.,2
Ice Wine,Dessert,lemon tart,Dessert,Japanese,5,Excellent,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.,Ice Wine,lemon tart,Ice Wine Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.,1
Viognier,White,cheese platter,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Viognier,cheese platter,Viognier Heuristic pairing assessment.,0
Champagne,Sparkling,cheese platter,Cheese,German,4,Good,Heuristic pairing assessment.,Champagne,cheese platter,Champagne Heuristic pairing assessment.,0
Sangiovese,Red,duck à l’orange,Poultry,Italian,4,Good,Light/medium red suits richer poultry/pork.,Sangiovese,duck à l’orange,Sangiovese Light/medium red suits richer poultry/pork.,6
Syrah/Shiraz,Red,cheese platter,Cheese,Greek,3,Neutral,Heuristic pairing assessment.,Syrah/Shiraz,cheese platter,Syrah/Shiraz Heuristic pairing assessment.,0
Sauvignon Blanc,White,vegetable curry,Vegetarian,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.,Sauvignon Blanc,vegetable curry,Sauvignon Blanc Deliberately bad pairing example for contrast.,5
Nebbiolo,Red,oysters,Seafood,Korean,1,Terrible,Tannic reds clash with delicate seafood.,Nebbiolo,oysters,Nebbiolo Tannic reds clash with delicate seafood.,2
Grüner Veltliner,White,oysters,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.,Grüner Veltliner,oysters,Grüner Veltliner Crisp acidity suits seafood.,4
Ice Wine,Dessert,vegetable curry,Vegetarian,Japanese,3,Neutral,Heuristic pairing assessment.,Ice Wine,vegetable curry,Ice Wine Heuristic pairing assessment.,6
Torrontés,White,Indian vindaloo,Spicy,Mexican,3,Neutral,Heuristic pairing assessment.,Torrontés,Indian vindaloo,Torrontés Heuristic pairing assessment.,0
Cava,Sparkling,shrimp scampi,Seafood,Italian,5,Excellent,Crisp acidity suits seafood.,Cava,shrimp scampi,Cava Crisp acidity suits seafood.,4
Grenache,Red,caprese salad,Acidic,French,3,Neutral,Heuristic pairing assessment.,Grenache,caprese salad,Grenache Heuristic pairing assessment.,0
Grenache,Red,mixed nuts,Salty Snack,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Grenache,mixed nuts,Grenache Heuristic pairing assessment.,0
Cabernet Sauvignon,Red,smoked sausage,Smoky BBQ,Ethiopian,2,Poor,Heuristic pairing assessment.,Cabernet Sauvignon,smoked sausage,Cabernet Sauvignon Heuristic pairing assessment.,0
Ice Wine,Dessert,cheesecake,Dessert,Vietnamese,3,Neutral,Sweet/sparkling pairs with dessert.,Ice Wine,cheesecake,Ice Wine Sweet/sparkling pairs with dessert.,6
Albariño,White,mushroom risotto,Vegetarian,Italian,3,Neutral,Heuristic pairing assessment.,Albariño,mushroom risotto,Albariño Heuristic pairing assessment.,0
Albariño,White,chocolate mousse,Dessert,German,2,Poor,Dry table wine clashes with dessert sweetness.,Albariño,chocolate mousse,Albariño Dry table wine clashes with dessert sweetness.,6
Sauternes,Dessert,sorbet,Dessert,Moroccan,5,Excellent,Sweet/sparkling pairs with dessert.,Sauternes,sorbet,Sauternes Sweet/sparkling pairs with dessert.,6
Albariño,White,stir-fried tofu,Vegetarian,Moroccan,3,Neutral,Heuristic pairing assessment.,Albariño,stir-fried tofu,Albariño Heuristic pairing assessment.,0
Madeira,Fortified,chocolate mousse,Dessert,Thai,2,Poor,Heuristic pairing assessment.,Madeira,chocolate mousse,Madeira Heuristic pairing assessment.,0
Sauvignon Blanc,White,cheesecake,Dessert,Mexican,3,Neutral,Dry table wine clashes with dessert sweetness.,Sauvignon Blanc,cheesecake,Sauvignon Blanc Dry table wine clashes with dessert sweetness.,6
Torrontés,White,fondue,Cheese,Vietnamese,2,Poor,Heuristic pairing assessment.,Torrontés,fondue,Torrontés Heuristic pairing assessment.,0
Sangiovese,Red,fondue,Cheese,German,3,Neutral,Heuristic pairing assessment.,Sangiovese,fondue,Sangiovese Heuristic pairing assessment.,0
Sangiovese,Red,roast chicken with herbs,Poultry,German,2,Poor,Heavy wine can dominate poultry.,Sangiovese,roast chicken with herbs,Sangiovese Heavy wine can dominate poultry.,6
Nebbiolo,Red,shrimp scampi,Seafood,Vietnamese,1,Terrible,Tannic reds clash with delicate seafood.,Nebbiolo,shrimp scampi,Nebbiolo Tannic reds clash with delicate seafood.,2
Champagne,Sparkling,mixed nuts,Salty Snack,Indian,2,Poor,Heuristic pairing assessment.,Champagne,mixed nuts,Champagne Heuristic pairing assessment.,0
Sangiovese,Red,beef stew,Red Meat,Argentinian,3,Neutral,Heuristic pairing assessment.,Sangiovese,beef stew,Sangiovese Heuristic pairing assessment.,0
Cava,Sparkling,roast lamb,Red Meat,Argentinian,1,Terrible,Delicate wine overwhelmed by red meat.,Cava,roast lamb,Cava Delicate wine overwhelmed by red meat.,3
Ice Wine,Dessert,cheese platter,Cheese,French,1,Terrible,Deliberately bad pairing example for contrast.,Ice Wine,cheese platter,Ice Wine Deliberately bad pairing example for contrast.,5
Cava,Sparkling,fish tacos,Seafood,Ethiopian,3,Neutral,Crisp acidity suits seafood.,Cava,fish tacos,Cava Crisp acidity suits seafood.,4
Nebbiolo,Red,Indian vindaloo,Spicy,Argentinian,2,Poor,High tannin intensifies spice heat.,Nebbiolo,Indian vindaloo,Nebbiolo High tannin intensifies spice heat.,6
Tempranillo,Red,caprese salad,Acidic,Ethiopian,2,Poor,Heuristic pairing assessment.,Tempranillo,caprese salad,Tempranillo Heuristic pairing assessment.,0
Champagne,Sparkling,mac and cheese,Cheese,Vietnamese,3,Neutral,Heuristic pairing assessment.,Champagne,mac and cheese,Champagne Heuristic pairing assessment.,0
Cava,Sparkling,mixed nuts,Salty Snack,Argentinian,2,Poor,Heuristic pairing assessment.,Cava,mixed nuts,Cava Heuristic pairing assessment.,0
Pinot Noir,Red,duck à l’orange,Poultry,Vietnamese,5,Excellent,Light/medium red suits richer poultry/pork.,Pinot Noir,duck à l’orange,Pinot Noir Light/medium red suits richer poultry/pork.,6
Sauternes,Dessert,olives and cheese,Salty Snack,Vietnamese,4,Good,Heuristic pairing assessment.,Sauternes,olives and cheese,Sauternes Heuristic pairing assessment.,0
Viognier,White,cream of mushroom soup,Creamy,Spanish,4,Good,Richer body matches creamy textures.,Viognier,cream of mushroom soup,Viognier Richer body matches creamy textures.,6
Champagne,Sparkling,charcuterie board,Salty Snack,Japanese,3,Neutral,Heuristic pairing assessment.,Champagne,charcuterie board,Champagne Heuristic pairing assessment.,0
Sauvignon Blanc,White,stir-fried tofu,Vegetarian,Moroccan,4,Good,Heuristic pairing assessment.,Sauvignon Blanc,stir-fried tofu,Sauvignon Blanc Heuristic pairing assessment.,0
Gamay (Beaujolais),Red,fish tacos,Seafood,Vietnamese,2,Poor,Tannic reds clash with delicate seafood.,Gamay (Beaujolais),fish tacos,Gamay (Beaujolais) Tannic reds clash with delicate seafood.,2
Chardonnay,White,alfredo pasta,Creamy,Mexican,3,Neutral,Richer body matches creamy textures.,Chardonnay,alfredo pasta,Chardonnay Richer body matches creamy textures.,6
Ice Wine,Dessert,grilled salmon,Seafood,Italian,2,Poor,Tannic reds clash with delicate seafood.,Ice Wine,grilled salmon,Ice Wine Tannic reds clash with delicate seafood.,2
Gamay (Beaujolais),Red,bbq brisket,Red Meat,Mexican,2,Poor,Delicate wine overwhelmed by red meat.,Gamay (Beaujolais),bbq brisket,Gamay (Beaujolais) Delicate wine overwhelmed by red meat.,3
Nebbiolo,Red,grilled salmon,Seafood,Greek,3,Neutral,Tannic reds clash with delicate seafood.,Nebbiolo,grilled salmon,Nebbiolo Tannic reds clash with delicate seafood.,2
Sangiovese,Red,bbq brisket,Red Meat,American BBQ,4,Good,Tannic red complements red meat fat.,Sangiovese,bbq brisket,Sangiovese Tannic red complements red meat fat.,3
Ice Wine,Dessert,duck à l’orange,Poultry,Vietnamese,3,Neutral,Heuristic pairing assessment.,Ice Wine,duck à l’orange,Ice Wine Heuristic pairing assessment.,6
Ice Wine,Dessert,shrimp scampi,Seafood,French,2,Poor,Tannic reds clash with delicate seafood.,Ice Wine,shrimp scampi,Ice Wine Tannic reds clash with delicate seafood.,2
Port,Fortified,sorbet,Dessert,Ethiopian,2,Poor,Heuristic pairing assessment.,Port,sorbet,Port Heuristic pairing assessment.,0
Sauternes,Dessert,fondue,Cheese,Middle Eastern,3,Neutral,Heuristic pairing assessment.,Sauternes,fondue,Sauternes Heuristic pairing assessment.,0
Chardonnay,White,roast chicken with herbs,Poultry,Middle Eastern,5,Excellent,Idealized perfect pairing example for contrast.,Chardonnay,roast chicken with herbs,Chardonnay Idealized perfect pairing example for contrast.,5
Viognier,White,fondue,Cheese,Middle Eastern,3,Neutral,Heuristic pairing assessment.,Viognier,fondue,Viognier Heuristic pairing assessment.,0
Gewürztraminer,White,citrus salad,Acidic,French,2,Poor,Low-acid wine seems flabby vs acids.,Gewürztraminer,citrus salad,Gewürztraminer Low-acid wine seems flabby vs acids.,6
Madeira,Fortified,sorbet,Dessert,Indian,3,Neutral,Heuristic pairing assessment.,Madeira,sorbet,Madeira Heuristic pairing assessment.,0
Gamay (Beaujolais),Red,cheese platter,Cheese,Moroccan,4,Good,Heuristic pairing assessment.,Gamay (Beaujolais),cheese platter,Gamay (Beaujolais) Heuristic pairing assessment.,0
Sauvignon Blanc,White,fish tacos,Seafood,Argentinian,4,Good,Crisp acidity suits seafood.,Sauvignon Blanc,fish tacos,Sauvignon Blanc Crisp acidity suits seafood.,4
Nebbiolo,Red,pork tenderloin,Pork,Korean,4,Good,Light/medium red suits richer poultry/pork.,Nebbiolo,pork tenderloin,Nebbiolo Light/medium red suits richer poultry/pork.,6
Nebbiolo,Red,fish tacos,Seafood,Argentinian,2,Poor,Tannic reds clash with delicate seafood.,Nebbiolo,fish tacos,Nebbiolo Tannic reds clash with delicate seafood.,2
Gamay (Beaujolais),Red,grilled ribeye,Red Meat,Thai,4,Good,Heuristic pairing assessment.,Gamay (Beaujolais),grilled ribeye,Gamay (Beaujolais) Heuristic pairing assessment.,0
Zinfandel,Red,mac and cheese,Cheese,French,5,Excellent,Idealized perfect pairing example for contrast.,Zinfandel,mac and cheese,Zinfandel Idealized perfect pairing example for contrast.,5
Chenin Blanc,White,beef stew,Red Meat,Korean,3,Neutral,Heuristic pairing assessment.,Chenin Blanc,beef stew,Chenin Blanc Heuristic pairing assessment.,0
Riesling (dry),White,bbq brisket,Red Meat,Korean,2,Poor,Delicate wine overwhelmed by red meat.,Riesling (Dry),bbq brisket,Riesling (Dry) Delicate wine overwhelmed by red meat.,3
Cabernet Sauvignon,Red,cheese platter,Cheese,Italian,2,Poor,Heuristic pairing assessment.,Cabernet Sauvignon,cheese platter,Cabernet Sauvignon Heuristic pairing assessment.,0
Gamay (Beaujolais),Red,grilled salmon,Seafood,German,4,Good,Light red (Pinot) with salmon works.,Gamay (Beaujolais),grilled salmon,Gamay (Beaujolais) Light red (Pinot) with salmon works.,6
Sauvignon Blanc,White,lemon tart,Dessert,Thai,3,Neutral,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.,Sauvignon Blanc,lemon tart,Sauvignon Blanc Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.,1
Madeira,Fortified,cheese platter,Cheese,German,3,Neutral,Heuristic pairing assessment.,Madeira,cheese platter,Madeira Heuristic pairing assessment.,0
Albariño,White,mac and cheese,Cheese,Argentinian,2,Poor,Heuristic pairing assessment.,Albariño,mac and cheese,Albariño Heuristic pairing assessment.,0
Torrontés,White,mac and cheese,Cheese,French,4,Good,Heuristic pairing assessment.,Torrontés,mac and cheese,Torrontés Heuristic pairing assessment.,0
Pinot Noir,Red,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Pinot Noir,fondue,Pinot Noir Heuristic pairing assessment.,7
Merlot,Red,alfredo pasta,Creamy,Argentinian,1,Terrible,Deliberately bad pairing example for contrast.,Merlot,alfredo pasta,Merlot Deliberately bad pairing example for contrast.,5
Cava,Sparkling,mac and cheese,Cheese,Italian,2,Poor,Heuristic pairing assessment.,Cava,mac and cheese,Cava Heuristic pairing assessment.,0
Grüner Veltliner,White,cheesecake,Dessert,French,2,Poor,Dry table wine clashes with dessert sweetness.,Grüner Veltliner,cheesecake,Grüner Veltliner Dry table wine clashes with dessert sweetness.,6
Malbec,Red,mac and cheese,Cheese,Japanese,3,Neutral,Heuristic pairing assessment.,Malbec,mac and cheese,Malbec Heuristic pairing assessment.,0
Ice Wine,Dessert,fish tacos,Seafood,Italian,2,Poor,Tannic reds clash with delicate seafood.,Ice Wine,fish tacos,Ice Wine Tannic reds clash with delicate seafood.,2
Cava,Sparkling,grilled ribeye,Red Meat,Argentinian,2,Poor,Heuristic pairing assessment.,Cava,grilled ribeye,Cava Heuristic pairing assessment.,0
Cava,Sparkling,caprese salad,Acidic,Middle Eastern,2,Poor,Heuristic pairing assessment.,Cava,caprese salad,Cava Heuristic pairing assessment.,0
Madeira,Fortified,cheesecake,Dessert,Korean,3,Neutral,Heuristic pairing assessment.,Madeira,cheesecake,Madeira Heuristic pairing assessment.,0
Ice Wine,Dessert,mixed nuts,Salty Snack,Middle Eastern,3,Neutral,Heuristic pairing assessment.,Ice Wine,mixed nuts,Ice Wine Heuristic pairing assessment.,6
White Zinfandel,Rosé,bbq brisket,Red Meat,Mexican,5,Excellent,Idealized perfect pairing example for contrast.,White Zinfandel,bbq brisket,White Zinfandel Idealized perfect pairing example for contrast.,5
Grüner Veltliner,White,alfredo pasta,Creamy,German,1,Terrible,Too lean for creamy dish.,Grüner Veltliner,alfredo pasta,Grüner Veltliner Too lean for creamy dish.,6
White Zinfandel,Rosé,beef stew,Red Meat,Korean,1,Terrible,Deliberately bad pairing example for contrast.,White Zinfandel,beef stew,White Zinfandel Deliberately bad pairing example for contrast.,5
Sauvignon Blanc,White,cream of mushroom soup,Creamy,Vietnamese,3,Neutral,Too lean for creamy dish.,Sauvignon Blanc,cream of mushroom soup,Sauvignon Blanc Too lean for creamy dish.,6
Sauternes,Dessert,oysters,Seafood,Vietnamese,2,Poor,Tannic reds clash with delicate seafood.,Sauternes,oysters,Sauternes Tannic reds clash with delicate seafood.,2
Ice Wine,Dessert,pork tenderloin,Pork,Argentinian,2,Poor,Heuristic pairing assessment.,Ice Wine,pork tenderloin,Ice Wine Heuristic pairing assessment.,6
Gewürztraminer,White,fondue,Cheese,French,3,Neutral,Heuristic pairing assessment.,Gewürztraminer,fondue,Gewürztraminer Heuristic pairing assessment.,0
Sauternes,Dessert,charcuterie board,Salty Snack,French,3,Neutral,Heuristic pairing assessment.,Sauternes,charcuterie board,Sauternes Heuristic pairing assessment.,0
Ice Wine,Dessert,olives and cheese,Salty Snack,Korean,5,Excellent,Idealized perfect pairing example for contrast.,Ice Wine,olives and cheese,Ice Wine Idealized perfect pairing example for contrast.,5
Grenache,Red,bbq brisket,Red Meat,Mexican,1,Terrible,Delicate wine overwhelmed by red meat.,Grenache,bbq brisket,Grenache Delicate wine overwhelmed by red meat.,3
Merlot,Red,mac and cheese,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Merlot,mac and cheese,Merlot Heuristic pairing assessment.,0
Sauternes,Dessert,cheesecake,Dessert,French,1,Terrible,Deliberately bad pairing example for contrast.,Sauternes,cheesecake,Sauternes Deliberately bad pairing example for contrast.,5
Madeira,Fortified,grilled ribeye,Red Meat,Japanese,3,Neutral,Heuristic pairing assessment.,Madeira,grilled ribeye,Madeira Heuristic pairing assessment.,0
Albariño,White,carbonara,Creamy,Indian,3,Neutral,Too lean for creamy dish.,Albariño,carbonara,Albariño Too lean for creamy dish.,6
Sauternes,Dessert,mac and cheese,Cheese,Ethiopian,3,Neutral,Heuristic pairing assessment.,Sauternes,mac and cheese,Sauternes Heuristic pairing assessment.,0
White Zinfandel,Rosé,caprese salad,Acidic,Mexican,3,Neutral,Heuristic pairing assessment.,White Zinfandel,caprese salad,White Zinfandel Heuristic pairing assessment.,0
Pinot Noir,Red,mac and cheese,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.,Pinot Noir,mac and cheese,Pinot Noir Heuristic pairing assessment.,7
Cabernet Sauvignon,Red,mac and cheese,Cheese,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.,Cabernet Sauvignon,mac and cheese,Cabernet Sauvignon Heuristic pairing assessment.,0
Provence Rosé,Rosé,mac and cheese,Cheese,Thai,3,Neutral,Heuristic pairing assessment.,Provence Rosé,mac and cheese,Provence Rosé Heuristic pairing assessment.,0
Albariño,White,roast lamb,Red Meat,Spanish,3,Neutral,Delicate wine overwhelmed by red meat.,Albariño,roast lamb,Albariño Delicate wine overwhelmed by red meat.,3
Barbera,Red,grilled ribeye,Red Meat,Vietnamese,3,Neutral,Heuristic pairing assessment.,Barbera,grilled ribeye,Barbera Heuristic pairing assessment.,0
Sauvignon Blanc,White,chocolate mousse,Dessert,Spanish,1,Terrible,Dry table wine clashes with dessert sweetness.,Sauvignon Blanc,chocolate mousse,Sauvignon Blanc Dry table wine clashes with dessert sweetness.,6
Champagne,Sparkling,grilled ribeye,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Champagne,grilled ribeye,Champagne Heuristic pairing assessment.,0
Cava,Sparkling,bbq brisket,Red Meat,Ethiopian,2,Poor,Delicate wine overwhelmed by red meat.,Cava,bbq brisket,Cava Delicate wine overwhelmed by red meat.,3
Riesling (dry),White,caprese salad,Acidic,Korean,3,Neutral,Heuristic pairing assessment.,Riesling (Dry),caprese salad,Riesling (Dry) Heuristic pairing assessment.,0
Sauternes,Dessert,mixed nuts,Salty Snack,Spanish,3,Neutral,Heuristic pairing assessment.,Sauternes,mixed nuts,Sauternes Heuristic pairing assessment.,0
Sauternes,Dessert,shrimp scampi,Seafood,Italian,2,Poor,Tannic reds clash with delicate seafood.,Sauternes,shrimp scampi,Sauternes Tannic reds clash with delicate seafood.,2
Cabernet Sauvignon,Red,gazpacho,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Cabernet Sauvignon,gazpacho,Cabernet Sauvignon Acidic wine balances acidic food.,1
Ice Wine,Dessert,chocolate mousse,Dessert,Vietnamese,4,Good,Sweet/sparkling pairs with dessert.,Ice Wine,chocolate mousse,Ice Wine Sweet/sparkling pairs with dessert.,6
Sauvignon Blanc,White,sorbet,Dessert,Japanese,1,Terrible,Dry table wine clashes with dessert sweetness.,Sauvignon Blanc,sorbet,Sauvignon Blanc Dry table wine clashes with dessert sweetness.,6
Cabernet Sauvignon,Red,caprese salad,Acidic,Indian,3,Neutral,Heuristic pairing assessment.,Cabernet Sauvignon,caprese salad,Cabernet Sauvignon Heuristic pairing assessment.,0
Chenin Blanc,White,citrus salad,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Chenin Blanc,citrus salad,Chenin Blanc Acidic wine balances acidic food.,1
Sauternes,Dessert,smoked sausage,Smoky BBQ,Thai,2,Poor,Heuristic pairing assessment.,Sauternes,smoked sausage,Sauternes Heuristic pairing assessment.,0
Sauternes,Dessert,grilled ribeye,Red Meat,American BBQ,3,Neutral,Heuristic pairing assessment.,Sauternes,grilled ribeye,Sauternes Heuristic pairing assessment.,0
Chardonnay,White,beef stew,Red Meat,American BBQ,2,Poor,Heuristic pairing assessment.,Chardonnay,beef stew,Chardonnay Heuristic pairing assessment.,0
Zinfandel,Red,grilled ribeye,Red Meat,Japanese,3,Neutral,Heuristic pairing assessment.,Zinfandel,grilled ribeye,Zinfandel Heuristic pairing assessment.,0
Grüner Veltliner,White,grilled salmon,Seafood,Japanese,5,Excellent,Crisp acidity suits seafood.,Grüner Veltliner,grilled salmon,Grüner Veltliner Crisp acidity suits seafood.,4
Grenache,Red,roast lamb,Red Meat,Indian,2,Poor,Delicate wine overwhelmed by red meat.,Grenache,roast lamb,Grenache Delicate wine overwhelmed by red meat.,3
Port,Fortified,grilled ribeye,Red Meat,Moroccan,3,Neutral,Heuristic pairing assessment.,Port,grilled ribeye,Port Heuristic pairing assessment.,0
Chenin Blanc,White,bbq brisket,Red Meat,Italian,1,Terrible,Delicate wine overwhelmed by red meat.,Chenin Blanc,bbq brisket,Chenin Blanc Delicate wine overwhelmed by red meat.,3
Grenache,Red,cheese platter,Cheese,Spanish,3,Neutral,Heuristic pairing assessment.,Grenache,cheese platter,Grenache Heuristic pairing assessment.,0
Madeira,Fortified,gazpacho,Acidic,Thai,5,Excellent,Acidic wine balances acidic food.,Madeira,gazpacho,Madeira Acidic wine balances acidic food.,1
Merlot,Red,bbq brisket,Red Meat,American BBQ,5,Excellent,Tannic red complements red meat fat.,Merlot,bbq brisket,Merlot Tannic red complements red meat fat.,3
White Zinfandel,Rosé,grilled ribeye,Red Meat,Indian,3,Neutral,Heuristic pairing assessment.,White Zinfandel,grilled ribeye,White Zinfandel Heuristic pairing assessment.,0
Malbec,Red,caprese salad,Acidic,Mexican,4,Good,Heuristic pairing assessment.,Malbec,caprese salad,Malbec Heuristic pairing assessment.,0
Tempranillo,Red,mac and cheese,Cheese,Moroccan,4,Good,Heuristic pairing assessment.,Tempranillo,mac and cheese,Tempranillo Heuristic pairing assessment.,0
Gamay (Beaujolais),Red,roast lamb,Red Meat,American BBQ,2,Poor,Delicate wine overwhelmed by red meat.,Gamay (Beaujolais),roast lamb,Gamay (Beaujolais) Delicate wine overwhelmed by red meat.,3
Grüner Veltliner,White,sorbet,Dessert,Middle Eastern,1,Terrible,Dry table wine clashes with dessert sweetness.,Grüner Veltliner,sorbet,Grüner Veltliner Dry table wine clashes with dessert sweetness.,6
Grenache,Red,fondue,Cheese,German,3,Neutral,Heuristic pairing assessment.,Grenache,fondue,Grenache Heuristic pairing assessment.,0
Albariño,White,bbq brisket,Red Meat,Indian,1,Terrible,Delicate wine overwhelmed by red meat.,Albariño,bbq brisket,Albariño Delicate wine overwhelmed by red meat.,3
Sauvignon Blanc,White,gazpacho,Acidic,Mexican,4,Good,Acidic wine balances acidic food.,Sauvignon Blanc,gazpacho,Sauvignon Blanc Acidic wine balances acidic food.,1
Nebbiolo,Red,fondue,Cheese,Greek,3,Neutral,Heuristic pairing assessment.,Nebbiolo,fondue,Nebbiolo Heuristic pairing assessment.,0
Chenin Blanc,White,cheese platter,Cheese,Vietnamese,3,Neutral,Heuristic pairing assessment.,Chenin Blanc,cheese platter,Chenin Blanc Heuristic pairing assessment.,0
Zinfandel,Red,bbq brisket,Red Meat,Indian,5,Excellent,Tannic red complements red meat fat.,Zinfandel,bbq brisket,Zinfandel Tannic red complements red meat fat.,3
Sauternes,Dessert,roast lamb,Red Meat,Chinese (Sichuan),1,Terrible,Delicate wine overwhelmed by red meat.,Sauternes,roast lamb,Sauternes Delicate wine overwhelmed by red meat.,3
Albariño,White,fondue,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Albariño,fondue,Albariño Heuristic pairing assessment.,0
Grüner Veltliner,White,carbonara,Creamy,Ethiopian,2,Poor,Too lean for creamy dish.,Grüner Veltliner,carbonara,Grüner Veltliner Too lean for creamy dish.,6
Provence Rosé,Rosé,fondue,Cheese,Italian,1,Terrible,Deliberately bad pairing example for contrast.,Provence Rosé,fondue,Provence Rosé Deliberately bad pairing example for contrast.,5
Ice Wine,Dessert,mac and cheese,Cheese,French,4,Good,Heuristic pairing assessment.,Ice Wine,mac and cheese,Ice Wine Heuristic pairing assessment.,6
Barbera,Red,cheese platter,Cheese,Japanese,2,Poor,Heuristic pairing assessment.,Barbera,cheese platter,Barbera Heuristic pairing assessment.,0
Chardonnay,White,grilled ribeye,Red Meat,Thai,3,Neutral,Heuristic pairing assessment.,Chardonnay,grilled ribeye,Chardonnay Heuristic pairing assessment.,0
Chardonnay,White,bbq brisket,Red Meat,Moroccan,2,Poor,Delicate wine overwhelmed by red meat.,Chardonnay,bbq brisket,Chardonnay Delicate wine overwhelmed by red meat.,3
Provence Rosé,Rosé,roast lamb,Red Meat,Spanish,2,Poor,Delicate wine overwhelmed by red meat.,Provence Rosé,roast lamb,Provence Rosé Delicate wine overwhelmed by red meat.,3
Grüner Veltliner,White,cheese platter,Cheese,Italian,2,Poor,Heuristic pairing assessment.,Grüner Veltliner,cheese platter,Grüner Veltliner Heuristic pairing assessment.,0
Gamay (Beaujolais),Red,caprese salad,Acidic,Spanish,1,Terrible,Deliberately bad pairing example for contrast.,Gamay (Beaujolais),caprese salad,Gamay (Beaujolais) Deliberately bad pairing example for contrast.,5
Sauvignon Blanc,White,carbonara,Creamy,Japanese,2,Poor,Too lean for creamy dish.,Sauvignon Blanc,carbonara,Sauvignon Blanc Too lean for creamy dish.,6
Tempranillo,Red,roast lamb,Red Meat,Spanish,5,Excellent,Tannic red complements red meat fat.,Tempranillo,roast lamb,Tempranillo Tannic red complements red meat fat.,3
Madeira,Fortified,roast lamb,Red Meat,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.,Madeira,roast lamb,Madeira Deliberately bad pairing example for contrast.,5
Zinfandel,Red,beef stew,Red Meat,Spanish,4,Good,Heuristic pairing assessment.,Zinfandel,beef stew,Zinfandel Heuristic pairing assessment.,0
Albariño,White,grilled ribeye,Red Meat,Chinese (Sichuan),3,Neutral,Heuristic pairing assessment.,Albariño,grilled ribeye,Albariño Heuristic pairing assessment.,0
Tempranillo,Red,beef stew,Red Meat,Indian,4,Good,Heuristic pairing assessment.,Tempranillo,beef stew,Tempranillo Heuristic pairing assessment.,0
Viognier,White,roast lamb,Red Meat,French,1,Terrible,Delicate wine overwhelmed by red meat.,Viognier,roast lamb,Viognier Delicate wine overwhelmed by red meat.,3
Grüner Veltliner,White,cream of mushroom soup,Creamy,Thai,2,Poor,Too lean for creamy dish.,Grüner Veltliner,cream of mushroom soup,Grüner Veltliner Too lean for creamy dish.,6
Cava,Sparkling,cheese platter,Cheese,Italian,3,Neutral,Heuristic pairing assessment.,Cava,cheese platter,Cava Heuristic pairing assessment.,0
Grenache,Red,beef stew,Red Meat,Korean,4,Good,Heuristic pairing assessment.,Grenache,beef stew,Grenache Heuristic pairing assessment.,0
Grüner Veltliner,White,fondue,Cheese,Korean,2,Poor,Heuristic pairing assessment.,Grüner Veltliner,fondue,Grüner Veltliner Heuristic pairing assessment.,0
Tempranillo,Red,bbq brisket,Red Meat,American BBQ,3,Neutral,Tannic red complements red meat fat.,Tempranillo,bbq brisket,Tempranillo Tannic red complements red meat fat.,3
Port,Fortified,beef stew,Red Meat,Chinese (Sichuan),2,Poor,Heuristic pairing assessment.,Port,beef stew,Port Heuristic pairing assessment.,0
Sauternes,Dessert,citrus salad,Acidic,Japanese,5,Excellent,Acidic wine balances acidic food.,Sauternes,citrus salad,Sauternes Acidic wine balances acidic food.,1
Riesling (dry),White,cheese platter,Cheese,Vietnamese,3,Neutral,Heuristic pairing assessment.,Riesling (Dry),cheese platter,Riesling (Dry) Heuristic pairing assessment.,0
White Zinfandel,Rosé,citrus salad,Acidic,Korean,2,Poor,Low-acid wine seems flabby vs acids.,White Zinfandel,citrus salad,White Zinfandel Low-acid wine seems flabby vs acids.,6
Champagne,Sparkling,roast lamb,Red Meat,Argentinian,1,Terrible,Delicate wine overwhelmed by red meat.,Champagne,roast lamb,Champagne Delicate wine overwhelmed by red meat.,3
Ice Wine,Dessert,citrus salad,Acidic,Japanese,4,Good,Acidic wine balances acidic food.,Ice Wine,citrus salad,Ice Wine Acidic wine balances acidic food.,1
